                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3449,                 1.2945,                 1.4264,                0.64614,                0.35032,                0.43707,                0.16943,                 2.3342,                 1.2756,                  1.428,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.3467,                 1.3027,                 1.4359,                0.64719,                0.36298,                0.44696,                0.17219,                 2.3139,                 1.2646,                  1.415,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3163,                 1.2962,                 1.4127,                0.65331,                0.35085,                0.43976,                0.16866,                 2.3358,                  1.288,                 1.4283,               0.001307,               0.001307,               0.001307
                     37,                 2.2983,                 1.2845,                 1.4285,                0.68335,                0.34783,                0.44357,                0.17247,                 2.3308,                 1.2705,                 1.4287,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.3047,                 1.2733,                 1.4205,                0.65946,                 0.3526,                0.44229,                0.17287,                 2.3122,                 1.2581,                 1.4222,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.3007,                 1.2715,                  1.421,                0.68565,                0.36014,                 0.4526,                0.17816,                 2.3072,                 1.2184,                 1.4162,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.2992,                  1.266,                  1.409,                 0.6672,                0.37076,                0.45769,                0.17901,                 2.2968,                 1.2121,                 1.4107,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.2932,                  1.264,                 1.4257,                0.65172,                0.35435,                0.44107,                0.17171,                 2.3124,                 1.2565,                 1.4158,               0.001208,               0.001208,               0.001208
                     42,                 2.2978,                 1.2517,                 1.4114,                0.66915,                0.35918,                0.45012,                  0.177,                 2.2982,                 1.2505,                 1.4168,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.2758,                 1.2388,                 1.4011,                0.67145,                0.36372,                0.45405,                0.17851,                 2.2901,                 1.2181,                 1.4095,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.2731,                 1.2439,                 1.3941,                0.68086,                0.36524,                0.45664,                0.17955,                 2.2804,                 1.2095,                 1.4087,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.2417,                 1.2103,                 1.3862,                0.68146,                0.36859,                0.45999,                0.18008,                 2.2813,                 1.2087,                 1.4043,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.2459,                 1.2373,                 1.4062,                0.66853,                0.37587,                0.46211,                 0.1822,                 2.2794,                 1.2012,                 1.4093,               0.001109,               0.001109,               0.001109
                     47,                 2.2417,                 1.2185,                 1.4018,                0.67674,                0.36851,                0.45858,                0.18024,                 2.2899,                 1.2048,                  1.407,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.2429,                 1.2027,                 1.3807,                0.68735,                0.37513,                0.46782,                0.18437,                 2.2789,                 1.1807,                 1.4086,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.2303,                 1.2043,                 1.3899,                0.65842,                0.36075,                 0.4493,                0.17395,                 2.2986,                 1.2151,                 1.4105,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.2404,                 1.1965,                 1.3853,                0.69342,                0.37347,                0.46641,                 0.1847,                 2.2744,                 1.1738,                 1.4047,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.2371,                 1.1933,                  1.375,                  0.675,                  0.374,                0.46387,                0.18286,                 2.2656,                 1.1802,                 1.3982,                0.00101,                0.00101,                0.00101
                     52,                  2.202,                 1.1773,                 1.3784,                 0.6836,                0.37185,                0.46455,                0.18344,                 2.2713,                 1.1676,                 1.4045,              0.0009902,              0.0009902,              0.0009902
                     53,                   2.21,                 1.1783,                 1.3699,                0.67364,                 0.3802,                0.46776,                0.18395,                 2.2745,                 1.1626,                 1.4083,              0.0009704,              0.0009704,              0.0009704
                     54,                  2.191,                  1.167,                 1.3697,                0.69149,                0.37574,                0.46813,                0.18572,                 2.2665,                 1.1593,                 1.4002,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.1912,                 1.1731,                 1.3758,                0.68761,                0.37913,                0.47164,                0.18547,                 2.2673,                 1.1616,                 1.3988,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.1716,                 1.1483,                 1.3695,                0.66811,                0.37342,                0.46352,                0.18321,                 2.2631,                 1.1826,                 1.4009,               0.000911,               0.000911,               0.000911
